encoding  utf-8
TRIP
DATE 2005-07-09 
DECLINATION     0.00
DATA
TRIP
DATE 2006-10-09 
DECLINATION     0.00
DATA
1.47	1.48	123.72	1.94	6.962	>
1.48		358.55	-82.65	1.548	>
1.48		97.21	52.74	3.988	>
1.48		53.26	-4.07	3.186	>
1.48		224.33	3.87	0.608	>
1.48	1.49	157.13	-1.41	10.006	>
1.49		81.43	62.90	2.768	>
1.49		25.52	-51.05	1.791	>
1.49		15.21	-5.96	3.092	>
1.49		159.41	0.13	0.429	>
1.49		319.15	2.70	6.019	>
1.49		353.55	1.13	4.227	>
1.49		20.26	-9.44	3.867	>
1.49	1.50	72.57	2.61	4.675	>
1.50		69.87	46.02	2.218	>
1.50		21.42	-10.50	3.161	>
1.50		161.41	-6.20	0.574	>
1.50	1.51	101.64	-1.09	12.267	>
1.51		154.14	51.43	4.126	>
1.51		160.55	-52.70	1.656	>
1.51		177.53	-0.16	2.504	>
1.51		344.78	4.43	0.531	>
1.51		263.99	-4.42	5.801	>
1.51	1.52	106.26	-0.52	5.021	>
1.52		99.23	70.57	3.637	>
1.52		167.41	-74.85	1.211	>
1.52		14.54	-1.98	2.901	>
1.52	1.53	143.11	0.22	8.685	>
1.53		314.39	-62.20	0.858	>
1.53		248.63	88.59	4.014	>
1.53		145.76	8.10	2.350	>
1.53		305.76	3.66	8.199	>
1.53		349.98	3.24	9.210	>
1.53	1.54	236.13	2.51	21.825	>
1.54		135.71	58.64	4.064	>
1.54		121.91	-52.65	2.454	>
1.54		289.66	4.28	0.992	>
1.54		128.55	-1.45	8.945	>
1.54		43.08	-4.07	12.767	>
1.54		148.35	-4.23	5.368	>
1.54	1.55	168.42	1.49	12.481	>
1.55		289.36	74.06	3.559	>
1.55		285.09	-26.09	4.427	>
1.55		132.62	12.48	1.569	>
1.55		293.90	1.20	8.248	>
1.55	1.56	239.74	-0.34	14.943	>
1.56		135.51	68.39	3.662	>
1.56		124.52	-26.23	4.310	>
1.56		128.78	0.04	7.936	>
1.56		318.11	16.18	0.488	>
1.56	1.57	186.37	-1.52	10.553	>
1.57		135.44	81.76	3.879	>
1.57		317.00	-38.58	2.333	>
1.57		295.33	7.60	5.200	>
1.57		119.68	4.60	5.060	>
1.57	1.58	171.11	4.14	12.839	>
1.58		290.03	45.43	4.177	>
1.58		286.09	-27.89	4.818	>
1.58		118.97	-7.05	0.676	>
1.58		323.07	-4.30	10.439	>
1.58		273.95	-5.73	8.585	>
1.58	1.59	221.54	-5.67	18.456	>
1.59		112.88	10.01	3.528	>
1.59		180.39	-47.37	0.650	>
1.59		269.02	78.51	4.397	>
1.59		285.34	15.50	4.772	>
1.59	1.60	190.37	4.79	19.455	>
1.60		304.54	41.33	3.767	>
1.60	1.61	255.58	-0.40	17.044	>
1.61	1.62	194.86	1.79	14.829	>
1.60		315.32	-5.61	8.848	>
1.60		314.78	47.20	3.303	>
1.60		308.63	-23.11	4.657	>
1.61		331.20	-4.99	1.013	>
1.61		147.58	43.57	3.906	>
1.61		158.98	-29.90	3.035	>
1.61		156.67	-0.51	9.155	>
1.62		121.80	-20.79	1.454	>
1.62		298.40	27.49	4.790	>
1.62		314.12	-9.47	8.560	>
1.62		306.59	-29.61	3.979	>
1.62	1.63	199.14	-3.52	25.958	>
1.63		53.95	-46.39	0.673	>
1.63		278.29	85.26	3.775	>
1.63		274.82	24.10	6.285	>
1.63		100.38	3.12	5.979	>
1.63	1.64	206.22	5.96	18.484	>
1.64		302.38	-18.27	0.600	>
1.64		147.42	-26.17	5.243	>
1.64		143.85	36.11	4.045	>
1.64		142.37	-4.81	8.954	>
1.64	1.65	207.36	-2.20	22.452	>
1.65		315.11	-22.15	3.878	>
1.65		312.83	42.99	4.657	>
1.65		312.65	-2.72	8.554	>
1.65	1.66	233.92	1.70	15.010	>
1.66		133.91	84.62	2.768	>
1.66		165.67	-39.85	2.589	>
1.66		313.60	20.68	5.465	>
1.66		132.72	-8.37	6.743	>
1.66	1.67	198.98	-0.15	37.389	>
1.67		127.92	-6.97	0.329	>
1.67		304.36	39.29	4.805	>
1.67		312.68	-24.14	3.736	>
1.67		312.69	11.42	9.522	>
1.67		244.03	2.66	20.849	>
1.67	1.68	213.49	-0.01	39.168	>
1.68		265.98	-12.81	0.731	>
1.68		69.31	-17.14	5.223	>
1.68		75.22	3.77	10.816	>
1.68		64.41	32.99	6.467	>
1.68	1.69	142.69	0.81	35.591	>
1.69		92.79	8.26	4.586	>
1.69		250.23	79.60	3.308	>
1.69		240.45	-42.60	2.488	>
1.69		266.83	-1.99	6.097	>
1.69	1.70	201.60	-2.47	25.222	>
1.70		350.71	-9.63	3.329	>
1.70		310.31	64.78	5.111	>
1.70		322.58	8.56	8.807	>
1.70		141.16	23.39	1.944	>
1.70		242.49	4.09	19.781	>
1.70	1.71	242.73	4.29	19.583	>
1.71		142.09	29.36	6.741	>
1.71		143.23	7.86	9.085	>
1.71		141.45	-43.29	2.621	>
1.71		310.18	-43.85	1.693	>
1.71	1.72	197.41	-3.83	17.191	>
1.72		0.00	-70.78	0.826	>
1.72		222.78	85.92	4.369	>
1.72		302.69	-4.13	4.487	>
1.72	1.73	208.68	0.89	46.806	>
1.73		126.34	9.97	2.812	>
1.73		275.92	55.32	5.127	>
1.73		291.05	-30.04	3.292	>
1.73		291.88	10.67	9.370	>
1.73		19.57	2.32	23.222	>
1.73	1.74	208.91	-1.71	23.774	>
1.74		267.75	37.71	7.024	>
1.74		64.43	-32.11	1.097	>
1.74		62.90	76.31	5.045	>
1.74		45.73	2.79	7.549	>
1.74		100.17	-0.09	11.313	>
1.74		104.76	1.20	12.291	>
1.74		68.59	-0.87	8.533	>
1.74		207.49	33.23	9.299	>
1.74	1.75	155.34	2.46	21.533	>
1.75		91.07	12.43	4.389	>
1.75		218.11	74.66	4.813	>
1.75		271.27	-35.95	3.513	>
1.75		267.56	-3.03	6.644	>
1.75		345.79	-6.81	11.863	>
1.75	1.76	189.04	-1.65	29.903	>
1.76		301.84	0.15	3.105	>
1.76		100.41	31.11	7.902	>
1.76		48.07	76.02	5.131	>
1.76		303.42	-72.36	0.988	>
1.76		327.77	-77.30	0.989	>
1.76	1.77	210.56	2.18	30.062	>
1.77		146.65	82.36	3.528	>
1.77		148.94	2.15	6.765	>
1.77		297.61	5.82	2.811	>
1.77		120.69	-32.27	3.671	>
1.77	1.78	216.32	-1.32	19.905	>
1.78		332.19	64.03	4.448	>
1.78		156.28	28.12	1.133	>
1.78		346.89	8.56	10.025	>
1.78		316.66	-20.84	3.778	>
1.78	1.79	275.40	1.08	18.532	>
1.79		336.51	-43.13	1.818	>
1.79		153.72	36.66	5.413	>
1.79		153.73	1.14	10.633	>
1.79		164.34	-49.42	2.112	>
1.79	1.80	183.63	-1.76	10.942	>
1.80		139.35	7.45	2.414	>
1.80		274.77	69.94	4.171	>
1.80		290.67	-19.10	4.126	>
1.80		321.31	1.10	9.101	>
1.80		300.70	-2.21	9.943	>
1.80	1.81	238.88	2.93	18.485	>
1.81		311.58	27.96	1.380	>
1.81		108.20	-5.21	9.761	>
1.81		99.84	-31.37	4.196	>
1.81		103.61	48.29	4.343	>
1.81	1.82	150.34	-1.13	28.179	>
1.82		338.41	-2.24	19.084	>
1.82		73.39	-26.71	1.210	>
1.82		279.99	-47.38	2.435	>
1.82		289.57	79.74	4.928	>
1.82	1.83	196.11	9.89	24.101	>
1.83		157.78	-33.92	2.518	>
1.83		345.53	73.64	2.813	>
1.83		355.30	-55.53	2.179	>
1.83		314.87	17.08	18.712	>
1.83		66.60	-5.27	13.815	>
1.83	1.84	294.02	-1.20	17.471	>
1.84		192.27	50.71	5.868	>
1.84		175.90	-12.13	5.311	>
1.84		319.56	-5.58	1.018	>
1.84		176.77	3.04	23.356	>
1.84	1.85	207.61	3.42	21.193	>
1.85		291.65	0.47	11.168	>
1.85		118.06	0.77	12.725	>
1.85		24.75	-44.35	3.948	>
1.85		175.16	76.47	3.797	>
1.85	1.86	175.04	19.83	11.435	>
1.86		11.58	-77.01	0.931	>
1.86		315.47	82.65	3.389	>
1.86		218.35	8.50	12.419	>
1.86		167.25	7.81	25.004	>
1.86		94.97	-11.77	18.773	>
1.86		73.89	-20.14	13.510	>
1.86	1.87	114.22	-3.88	23.999	>
1.87		234.14	35.38	5.065	>
1.87		90.93	-61.45	5.567	>
1.87		81.91	-37.81	6.778	>
1.87		238.19	9.54	24.388	>
1.87	1.88	179.47	-14.99	13.247	>
1.88		201.73	-51.34	1.945	>
1.88		192.44	76.38	5.501	>
1.88		107.22	-10.64	5.677	>
1.88		275.71	23.09	20.812	>
1.88	1.89	225.96	-4.00	13.061	>
1.89		140.06	10.07	9.058	>
1.89		308.84	89.08	9.049	>
1.89		20.88	-23.47	1.373	>
1.89		301.68	7.87	14.146	>
1.89	1.90	262.52	6.89	13.389	>
1.90		328.68	-26.09	4.454	>
1.90		310.30	2.05	6.377	>
1.90		170.24	14.88	12.796	>
1.90		211.19	75.73	5.718	>
1.90	1.91	208.14	-0.56	15.808	>
1.91		112.58	15.93	7.755	>
1.91		264.94	81.73	5.124	>
1.91		278.95	-0.22	9.788	>
1.91		312.11	-18.47	6.004	>
1.91	1.92	194.28	0.24	30.027	>
1.92		108.92	5.66	3.856	>
1.92		10.78	81.28	1.270	>
1.92		281.38	-47.13	2.688	>
1.92		287.09	2.24	8.011	>
1.92	1.93	208.44	-1.46	20.680	>
1.91		250.73	13.87	13.006	>
1.91		324.26	4.51	11.765	>
1.93		116.96	5.01	2.303	>
1.93		224.79	67.24	1.486	>
1.93		299.24	-2.62	6.335	>
1.93		308.25	-24.35	2.689	>
1.93	1.94	217.87	0.59	17.563	>
1.94		133.53	21.19	3.049	>
1.94		276.05	37.52	4.701	>
1.94		287.63	-22.75	3.605	>
1.94		341.96	13.78	14.978	>
1.94		233.51	10.25	16.715	>
1.94		295.90	21.92	19.118	>
1.94	1.95	235.21	1.00	13.139	>
1.95		124.83	53.50	3.688	>
1.95		118.29	-28.92	3.474	>
1.95		130.59	4.55	7.770	>
1.95		293.80	3.03	0.511	>
1.95	1.96	193.49	-1.16	25.154	>
1.96		287.38	18.30	4.560	>
1.96		75.75	-25.93	1.459	>
1.96		94.35	-3.10	6.434	>
1.96		46.46	65.43	2.406	>
1.96	1.97	183.14	0.16	21.631	>
1.97		135.02	15.73	2.335	>
1.97		271.55	37.91	4.907	>
1.97		285.88	3.61	9.063	>
1.97		283.30	-15.53	3.249	>
1.97	1.98	212.82	0.44	26.636	>
1.98		126.56	15.13	3.402	>
1.98		228.97	60.72	2.567	>
1.98		288.00	2.07	7.552	>
1.98		297.57	-22.56	2.557	>
1.98	1.99	215.86	5.10	20.348	>
1.99		311.19	-14.79	8.041	>
1.99		292.21	46.07	0.450	>
1.99		307.49	-36.24	5.444	>
1.99		121.09	-7.67	4.119	>
1.99	1.100	207.77	0.00	19.083	>
1.100		285.31	-20.95	7.989	>
1.100		287.46	-11.59	7.693	>
1.100		217.64	71.78	1.183	>
1.100		128.55	-1.30	4.534	>
1.100	1.101	215.99	-5.17	25.934	>
1.101		314.82	-62.92	0.994	>
1.101		315.21	9.85	1.965	>
1.101		112.19	72.48	2.279	>
1.101		122.66	10.24	10.459	>
1.101	1.102	175.65	1.36	23.722	>
1.102		109.29	22.00	2.312	>
1.102		264.41	67.66	1.811	>
1.102		274.75	8.42	12.348	>
1.102		261.50	-9.65	3.205	>
1.102	1.103	212.54	1.62	29.387	>
1.103		319.39	-6.81	3.863	>
1.103		268.39	76.57	2.150	>
1.103		142.67	-20.74	3.770	>
1.103		133.73	-28.19	2.826	>
1.103		135.53	-4.99	6.520	>
1.103		322.65	1.19	3.569	>
1.103		252.58	1.50	9.741	>
1.103		15.47	3.02	6.895	>
1.103	1.104	219.04	-1.25	30.977	>
1.104		327.39	-43.14	1.012	>
1.104		303.60	5.98	6.660	>
1.104		138.22	2.19	3.566	>
1.104		187.94	59.74	2.026	>
1.104	1.105	215.63	-2.35	18.338	>
1.105		153.61	-9.26	1.771	>
1.105		271.05	37.50	4.758	>
1.105		290.44	-26.72	2.068	>
1.105		314.34	6.84	10.997	>
1.105		204.06	-6.10	6.993	>
